,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
FoxO signaling pathway Homo sapiens hsa04068,0.61757934,-0.26777628,0.38551375,0.24759129,0.673425,0.64437544,1.079959,-0.79496086,0.95156085,0.93766403,0.9902119,0.97709745,0.187,0.8427332,0.663,0.5993691,0.606,0.737
Fructose and mannose metabolism Homo sapiens hsa00051,0.599808,0.54308915,0.41694468,0.49255943,0.7334803,0.7220517,1.0103338,1.6229069,0.95169187,1.4080473,1.0352683,1.0510658,0.467,0.017621145,0.60160965,0.06726457,0.301,0.246
GABAergic synapse Homo sapiens hsa04727,0.5047635,0.26952326,0.43135825,0.30694935,0.67331064,0.64364535,0.87377053,0.9684847,1.0478308,1.0802803,0.9816809,0.9674799,0.883,0.49242425,0.381,0.31714284,0.684,0.787
Galactose metabolism Homo sapiens hsa00052,0.7092315,0.3176827,0.4800777,0.35990235,0.72582847,0.71256596,1.1865152,0.94371974,1.0831871,1.0121472,1.0199635,1.0294166,0.152,0.55,0.375,0.45346063,0.386,0.345
Gap junction Homo sapiens hsa04540,0.61444885,-0.21567497,0.44614774,-0.3705111,0.7160417,0.69156694,1.0582709,-0.598547,1.0779803,-1.2079618,1.0416919,1.0385066,0.309,0.9825784,0.296,0.16051364,0.177,0.199
Gastric acid secretion Homo sapiens hsa04971,0.53456545,-0.3070008,0.50697136,-0.21250713,0.72712034,0.6945666,0.91891795,-0.81655484,1.211784,-0.6558964,1.0496489,1.0336609,0.729,0.7589928,0.08808809,0.98394865,0.149,0.241
Glioma Homo sapiens hsa05214,0.57504493,-0.36280736,0.44154638,-0.3658383,0.68470937,0.67113245,0.98687595,-0.99992454,1.0631188,-1.1507992,0.99295163,1.0031817,0.555,0.48061106,0.361,0.21931261,0.572,0.47
Glucagon signaling pathway Homo sapiens hsa04922,0.54448223,0.2150991,0.3912506,0.21272722,0.73521656,0.70984954,0.94346195,0.7980473,0.94952637,0.76933223,1.0738592,1.0702255,0.712,0.8738739,0.657,0.9338843,0.037,0.048
Glutamatergic synapse Homo sapiens hsa04724,0.5063332,-0.3000777,0.4462072,-0.20207056,0.669528,0.63984245,0.88168,-0.8660542,1.0840902,-0.6770715,0.98283637,0.96965975,0.901,0.730812,0.241,0.9715142,0.705,0.803
Glutathione metabolism Homo sapiens hsa00480,0.7536378,-0.26360732,0.3779779,0.30994412,0.6862785,0.6545635,1.2942834,-0.6884843,0.8882412,0.96318823,0.9850263,0.96715134,0.013,0.9061728,0.749,0.5039578,0.597,0.718
Glycerolipid metabolism Homo sapiens hsa00561,0.6389167,-0.4216416,0.40716785,-0.2525323,0.77254444,0.7573876,1.0895178,-1.1104228,0.96145076,-0.74082667,1.1106627,1.1207724,0.27,0.3279703,0.6,0.87606114,0.028,0.029
Glycerophospholipid metabolism Homo sapiens hsa00564,0.54840887,0.25629225,0.38655576,-0.22922285,0.7105582,0.69085556,0.9452524,0.9530182,0.9308021,-0.74317354,1.0390806,1.0421338,0.694,0.5426357,0.693,0.89903843,0.17,0.153
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.7017303,0.40761685,0.52744985,0.2379475,0.73719066,0.69694597,1.1995804,1.2593566,1.2182472,0.7002271,1.0433013,1.0157444,0.106,0.13963965,0.1307847,0.9230769,0.245,0.374
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.657048,0.3943069,0.50477844,0.39883313,0.708112,0.6971537,1.13152,1.3754009,1.2022247,1.322694,1.0229579,1.0384866,0.157,0.05,0.108,0.08430913,0.335,0.23
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.5203726,-0.31584147,0.32584095,0.26313642,0.6530343,0.6178711,0.8694027,-0.7217544,0.7168396,0.6941194,0.9080045,0.8834985,0.7437437,0.7983762,0.8778004,0.8609756,0.884,0.925
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.5262408,-0.5465094,0.530698,0.24225754,0.6186592,0.59926283,0.8843951,-1.2887094,1.1969857,0.68549585,0.8697972,0.86823195,0.751503,0.13802083,0.18227594,0.9230769,0.967,0.965
Glycosaminoglycan degradation Homo sapiens hsa00531,0.6373147,-0.5195346,0.47217482,-0.4166548,0.75147265,0.7509839,1.0463508,-1.1273196,1.0426213,-0.9963338,1.0327314,1.0602827,0.42785066,0.30983847,0.45781893,0.44247788,0.32732734,0.24649298
Glycosphingolipid biosynthesis - lacto and neolacto series Homo sapiens hsa00601,0.7278718,-0.3636148,0.4967481,-0.30614415,0.5710796,0.56965536,1.2112589,-0.8302993,1.1020124,-0.7479392,0.7922452,0.81090176,0.13366835,0.7100671,0.34989858,0.81378025,0.987,0.977
