,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
137,Lysine degradation Homo sapiens hsa00310,0.33599028,1.0178854,0.43760684,0.9749474069651436,35,0.2857143,0.14201832,OGDH;HYKK;ACAT2;HADHA;PIPOX;ASH1L;GCDH;PLOD1;ALDH9A1;KMT2B
138,Lysosome Homo sapiens hsa04142,-0.34403938,-1.3000649,0.0647482,0.9749474069651436,92,0.16304348,0.08189149,CD164;ATP6V1H;ATP6V0D1;AP1M2;AP3D1;CTSW;ACP5;GAA;NAGA;LAPTM4A;SCARB2;CTSZ;AP1S2;ATP6V0B;AP4M1
139,MAPK signaling pathway Homo sapiens hsa04010,0.28440636,1.1287205,0.2,0.9749474069651436,200,0.24,0.15736319,CHUK;TAB2;PLA2G4A;NLK;TNFRSF1A;PRKCB;ARRB1;DUSP1;MYC;HSPB1;CDC42;FGF14;TRAF2;PDGFB;DUSP10;MAPK1;NR4A1;MAPK12;DUSP9;PPM1B;MAPT;AKT2;RASGRF1;RAC1;MRAS;MAP3K5;AKT3;CACNA1H;FGFR4;RAC2;FGF8;SRF;DUSP16;RPS6KA2;HSPA2;CACNB2;CACNA1D;NTF4;CRK;PAK1;DDIT3;FGF5;TRAF6;CACNA2D2;CACNG2;FGFR1;SOS2;CDC25B
203,Proteoglycans in cancer Homo sapiens hsa05205,0.31891125,1.2405523,0.0910518,0.9749474069651436,163,0.31288344,0.20198856,WNT2B;ARHGEF1;TIMP3;HPSE2;TLR2;RPS6;PRKCB;KRAS;HCLS1;MYC;CDC42;HSPG2;MAPK1;MAPK12;ARAF;DDX5;MAPK13;KDR;CDKN1A;AKT2;PLCG2;GAB1;ANK2;PTPN11;ITPR3;RAC1;MRAS;THBS1;AKT3;VEGFA;ERBB2;PTK2;CBLC;CD63;PIK3R1;SMAD2;CTTN;ITGB3;PIK3R5;WNT3A;PAK1;FZD10;SLC9A1;WNT7B;TWIST2;PPP1CA;SRC;CBLB;FZD5;FGFR1;SOS2
141,Maturity onset diabetes of the young Homo sapiens hsa04950,0.35697377,0.9165287,0.5883459,0.9749474069651436,17,0.3529412,0.15767635,PAX6;HES1;FOXA3;HNF4A;HNF1B;HNF1A
144,Melanoma Homo sapiens hsa05218,0.28695634,0.9310602,0.58347976,0.9749474069651436,56,0.30357143,0.19729117,KRAS;FGF14;PDGFB;PDGFD;MAPK1;ARAF;CDKN1A;AKT2;E2F3;FGF13;AKT3;PDGFC;FGF8;PIK3R1;PIK3R5;FGF5;FGFR1
145,Metabolism of xenobiotics by cytochrome P450 Homo sapiens hsa00980,-0.2981176,-0.89613014,0.594533,0.9749474069651436,28,0.53571427,0.30251312,CYP2D6;CBR3;ADH6;SULT2A1;GSTM4;MGST2;HPGDS;EPHX1;MGST3;MGST1;GSTK1;DHDH;CYP1B1;CYP3A5;CBR1
146,MicroRNAs in cancer Homo sapiens hsa05206,0.27118507,1.0120095,0.4276094,0.9749474069651436,129,0.24031007,0.16511391,TIMP3;PRKCB;KIF23;MYC;PDGFB;NOTCH1;MAPK1;CDC25C;CDKN1A;PLCG2;CREBBP;VIM;E2F3;ABCC1;SIRT1;THBS1;EFNA3;DDIT4;TNC;SOX4;ERBB2;ABCB1;CRK;WNT3A;GLS;HDAC4;FOXP1;PIM1;DNMT3B;SOS2;CDC25B
148,Mismatch repair Homo sapiens hsa03430,0.31450102,0.81700766,0.67955804,0.9749474069651436,19,0.10526316,0.026148908,MSH6;RFC4
149,Morphine addiction Homo sapiens hsa05032,0.3824164,1.3067524,0.072289154,0.9749474069651436,71,0.26760563,0.16331324,PDE11A;GABRA2;GABRG1;PRKCB;ARRB1;GABRG2;GNB2;KCNJ3;GNG3;SLC32A1;GNAI1;ADCY1;PDE3A;GNG7;GNAS;GNB3;GNG2;GABRB1;OPRM1
