,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
146,MicroRNAs in cancer Homo sapiens hsa05206,0.20846944,0.8216257,0.9158576,1.0,132,0.25757575,0.21190529,PAK4;NRAS;MCL1;NFKB1;TPM1;SLC7A1;FGFR3;PRKCB;EFNA3;CDK6;CCND2;MDM4;ATM;STMN1;CCNE1;WNT3;BMPR2;CDC25B;RPTOR;ABCC1;HDAC1;SIRT1;PLCG2;ZFPM2;BCL2;CYP1B1;UBE2I;ITGB3;CDCA5;SOS1;CCNG1;THBS1;MET;SOX4
147,Mineral absorption Homo sapiens hsa04978,-0.48232114,-1.3650308,0.09878683,1.0,31,0.22580644,0.14250724,SLC11A1;ATP7A;SLC11A2;HMOX2;STEAP2;TRPM6;SLC26A6
148,Mismatch repair Homo sapiens hsa03430,0.2692876,0.72780395,0.8507463,1.0,20,0.35,0.2844949,RFC1;RFC4;MLH1;RPA1;PMS2;LIG1;POLD1
149,Morphine addiction Homo sapiens hsa05032,0.28363463,1.0106962,0.4520958,1.0,70,0.21428572,0.11994359,SLC32A1;GABRP;GNG10;PDE3A;PRKCB;GNG7;GABRB1;GNG3;GNB3;GABRG2;PDE11A;PDE7B;GABRA2;GNB2;GABRG3
150,Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,0.4583009,1.2517242,0.17942584,1.0,19,0.15789473,0.028353002,B4GALT5;GALNTL6;GALNT13
151,N-Glycan biosynthesis Homo sapiens hsa00510,0.41449875,1.3316609,0.08310992,1.0,41,0.24390244,0.13924144,STT3B;DPAGT1;MAN2A1;MAN1C1;DOLPP1;MGAT4A;ST6GAL2;RPN2;MGAT5;ALG9
136,Longevity regulating pathway - multiple species Homo sapiens hsa04213,0.23908673,0.8000083,0.8342391,1.0,53,0.18867925,0.14124545,PRKAG1;PIK3R3;PRKAB1;FOXO1;INSR;RPTOR;PRKAA1;PRKAA2;SIRT1;PIK3CB
137,Lysine degradation Homo sapiens hsa00310,0.1889395,0.5778675,0.984,1.0,36,0.083333336,0.08795369,ALDH9A1;GCDH;ASH1L
138,Lysosome Homo sapiens hsa04142,-0.32899442,-1.1231413,0.25384617,1.0,101,0.33663365,0.23476583,CTSW;TCIRG1;SLC11A1;SORT1;GUSB;M6PR;ATP6V0B;CTSZ;SGSH;GNPTG;SLC11A2;GLA;MAN2B1;GALC;ASAH1;FUCA1;CD164;PLA2G15;CD63;HYAL1;LAMP1;IDS;ATP6V0D1;DNASE2;AP1S1;PPT1;CLN5;AP3B2;AP3D1;CLTA;HEXB;CLN3;MCOLN1;AP3S2
139,MAPK signaling pathway Homo sapiens hsa04010,-0.21707444,-0.81093246,0.8925295,1.0,207,0.19806764,0.17813404,DDIT3;RASGRP2;AKT3;CACNA1A;MAPK8IP2;CACNA1G;KRAS;CRKL;AKT2;CASP3;PAK1;RAP1B;PTPN5;NFATC1;MAP2K6;MAP2K2;MYC;NTRK2;CACNG7;MAPKAPK3;RPS6KA6;MAP3K3;MAPT;DUSP8;CACNA1B;STK4;MAP4K2;HSPA1L;EGF;TAB1;IKBKB;FGF8;FAS;MECOM;RELB;ARRB1;FGF14;BDNF;MAP2K5;MAPK8IP3;MAPK9
