,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
7304,Gfod2,149.21981851680093,0.582518279635861,0.0616658939292239,9.446360743662238,3.508160185532071e-21,2.6604815838935323e-20,True
7311,Nrn1l,16.138223135127124,-1.2118550650636486,0.192951209499149,-6.280629534322732,3.3720479176632536e-10,1.4313197568955094e-09,True
7317,Gm45752,19.74908970576088,1.3197555130787275,0.1729154853470582,7.632373181787909,2.304711327396454e-14,1.2611011168181848e-13,True
7318,Dus2,12.71881036275206,-1.767554555809831,0.2178195241580993,-8.114766399576244,4.867201760845782e-16,2.8991016482857976e-15,True
7319,Ddx28,191.76541227351868,0.5567689678071341,0.0537303805747838,10.36227478478778,3.681017851315737e-25,3.309698724103321e-24,True
7322,1810019D21Rik,12.709595449542457,-0.9650184139873637,0.1955018270317164,-4.936109440198775,7.969639703467535e-07,2.560122320614259e-06,True
7324,Slc7a6,40.98822800321349,-3.6128889530409625,0.1810816388796591,-19.95171335643792,1.448389644291083e-88,5.24419008268374e-87,True
7326,Prmt7,30.857589190799988,-0.6998395645974738,0.1247795786565964,-5.608606569537224,2.0396209088965316e-08,7.608551718170338e-08,True
7333,Chtf8,780.4265710693588,-4.836893571725499,0.1307322223141451,-36.99848045191647,1.211388888881794e-299,3.209813467994669e-297,True
7341,Nob1,40.45654872737656,-0.7474983695441638,0.1082903214301451,-6.902725559147526,5.1014128137637015e-12,2.4719730475782658e-11,True
7346,D030068K23Rik,83.36554489692215,-0.7114083266049795,0.078974035168083,-9.008129381902108,2.0960099384596624e-19,1.4720892290675733e-18,True
7348,Dhodh,25.458656556134304,3.0399410753478757,0.2047283144892944,14.848659712415298,7.097345722090044e-50,1.3078860061950543e-48,True
7349,Pkd1l3,687.5657626296503,0.7554374128919965,0.0340666086579984,22.175304283322863,5.947203821465903e-109,2.818555567203136e-107,True
7350,Ist1,598.2250508915088,-0.5762421501050808,0.0311386956061652,-18.505661168125105,1.8588394630635427e-76,5.624114970597793e-75,True
7361,Sf3b3,46.54181754233246,-3.5962352137578413,0.1685364805952519,-21.33802249255676,5.038085501602959e-101,2.1384960983503044e-99,True
7362,Cog4,35.009353900790224,-0.774252607787608,0.1385972360800534,-5.586349552745782,2.3189225535024052e-08,8.595446718026722e-08,True
7363,Fcsk,67.15297854548781,-1.0203221328878398,0.0936816784960004,-10.89137331085929,1.2671488515934095e-27,1.247039905270993e-26,True
7371,Glg1,66.29759247062582,-0.7250980504555484,0.0885810068750217,-8.18570567253298,2.7071262053295486e-16,1.6364404797374057e-15,True
7373,Mlkl,449.78117472971263,1.192968150402283,0.0354944793159568,33.60996339129205,1.1998555650928444e-247,2.331452680260407e-245,True
7374,Wdr59,895.0154602514893,1.2462825816240068,0.0534136644762751,23.332654552798388,2.0675270311002864e-120,1.1514940356650257e-118,True
7375,Ldhd,26.707477769224777,0.7054044515162237,0.1322287960390754,5.334726418500904,9.568871914533573e-08,3.362950804689773e-07,True
7376,Zfp1,34.178891228186345,-0.5006086578434595,0.1163216736708374,-4.303657624975914,1.680012218000589e-05,4.686561440164986e-05,True
7387,Adamts18,19.61203057364825,0.6340075633122999,0.1532718940008964,4.136489389950332,3.526596533733051e-05,9.466326965759568e-05,True
7388,Nudt7,49.21956305266493,1.0544466763035591,0.1256178104434094,8.394085779568538,4.695332664309666e-17,2.95579473122561e-16,True
7391,Gm16116,23.02074246118853,0.6857875666779186,0.1391130526582767,4.929714024481344,8.235007406709115e-07,2.641970455485764e-06,True
7395,Atmin,11.875393513000825,0.8171232510891207,0.2092405014901464,3.905186831754945,9.415261572785452e-05,0.0002396711708658,True
7398,Gan,290.78713159615126,0.5388077194752455,0.0441643448301342,12.200061419401065,3.1058959506334507e-34,3.743343100253466e-33,True
7399,Cmip,136.48017282684535,0.8763775031693365,0.063321827911758,13.840053770883072,1.4609726571848409e-43,2.2852853156394006e-42,True
7400,Plcg2,64.07873963541421,0.521717259119735,0.0860237394332744,6.064805628734759,1.3211332665074014e-09,5.381779306937208e-09,True
7405,Mlycd,248.2970344909625,-0.5780284984473365,0.0501994505820647,-11.51463794414225,1.1132613034434977e-30,1.2062400046232889e-29,True
7408,Hsdl1,21.472440943794737,-1.7756929272420092,0.1672504503440884,-10.616969482526548,2.484978657588126e-26,2.335158880381577e-25,True
