,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
197,Prostate cancer Homo sapiens hsa05215,0.25855684,0.96438754,0.51782364,0.9967153945577488,71,0.32394367,0.20472303,SOS2;CASP9;GSK3B;LEF1;IKBKB;CDKN1B;GSTP1;MAP2K2;CDKN1A;KRAS;CCNE2;BRAF;FGFR1;AKT2;FGFR2;RB1;PDGFB;HSP90AB1;PIK3CA;AKT3;PIK3R1;E2F3;PDGFD
198,Proteasome Homo sapiens hsa03050,0.3463639,1.1083554,0.2963671,0.9967153945577488,35,0.2857143,0.13537003,PSMC6;PSMD7;PSMD2;PSMD12;PSMD6;PSMB8;PSME4;PSMA7;PSMB9;PSMC5
199,Protein digestion and absorption Homo sapiens hsa04974,0.23924762,0.8324048,0.7528517,0.9967153945577488,49,0.30612245,0.2518655,SLC8A2;SLC15A1;COL9A1;MME;SLC36A1;COL1A1;MEP1B;ATP1A3;COL27A1;CPA2;COL12A1;COL6A3;COL5A3;SLC38A2;XPNPEP2
200,Protein export Homo sapiens hsa03060,0.37661615,1.0491354,0.40442654,0.9967153945577488,19,0.2631579,0.14283206,SEC61B;IMMP2L;SEC63;SRP14;SEC62
201,Protein processing in endoplasmic reticulum Homo sapiens hsa04141,-0.25803092,-1.0621823,0.34166667,0.9967153945577488,126,0.4047619,0.29848126,SEC23A;P4HB;DERL1;HYOU1;GANAB;MAPK8;FBXO6;PPP1R15A;RNF5;DNAJA1;MAPK9;MAPK10;UBE2E1;SEC61G;MOGS;UBE2D2;NSFL1C;PRKCSH;DNAJA2;SEC61A2;XBP1;MAN1C1;SEC31B;DNAJC1;UBQLN4;UBE2J1;UBE2J2;SEC24B;RRBP1;PDIA3;DNAJC5;MAN1A2;CAPN1;SSR1;SIL1;SAR1A;DNAJB12;SEC61A1;EIF2AK2;DNAJC5G;STUB1;EIF2AK3;BAG2;LMAN1;TRAM1;BCL2;DNAJC5B;ERN1;BAX;ERP29;SSR2
202,Proteoglycans in cancer Homo sapiens hsa05205,0.28649876,1.1976339,0.10458715,0.9967153945577488,149,0.2751678,0.19682205,MMP9;SOS2;MRAS;FZD5;IGF2;ITPR3;FZD10;MYC;DDX5;RAC1;ITGB3;CDC42;THBS1;HSPG2;PTPN11;PRKCB;MAPK12;HIF1A;MAP2K2;CDKN1A;LUM;PPP1CA;PLCG2;KRAS;BRAF;TLR2;FGFR1;VEGFA;AKT2;WNT7B;HPSE2;GAB1;WNT3A;PAK1;AKT3;FAS;CASP3;RPS6;PIK3R1;MAPK13;TWIST2
203,Proximal tubule bicarbonate reclamation Homo sapiens hsa04964,0.5039739,1.303483,0.17296223,0.9967153945577488,14,0.35714287,0.15942411,SLC4A4;CA4;MDH1;GLS;CA2
205,Pyrimidine metabolism Homo sapiens hsa00240,0.2558052,0.9566045,0.5321285,0.9967153945577488,68,0.13235295,0.0963041,POLR3H;POLR3K;TYMS;ITPA;POLR1B;UCK1;CMPK1;POLR2I;POLR2L
206,Pyruvate metabolism Homo sapiens hsa00620,-0.32175753,-0.94735646,0.5251938,0.9967153945577488,26,0.1923077,0.13203406,DLAT;PKM;LDHB;PKLR;ACSS1
207,RIG-I-like receptor signaling pathway Homo sapiens hsa04622,-0.29499504,-0.9683687,0.4948025,0.9967153945577488,35,0.2,0.09674304,RELA;MAPK8;MAPK10;IFIH1;TBKBP1;TRADD;SIKE1
