,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.5990925,-0.32686976,0.32028395,-0.21292618,0.5714319,0.5542242,0.99144244,-0.93963265,0.70708007,-0.58899426,0.8541214,0.8634112,0.49198398,0.5224586,0.8946841,0.9737991,0.971,0.951
Carbon metabolism Homo sapiens hsa01200,0.5983442,-0.33503285,0.46240672,0.21332039,0.6167726,0.6033594,1.0114104,-1.2111287,1.1110436,0.70994455,0.96341103,0.98612654,0.469,0.12941177,0.197,0.9432739,0.791,0.616
Cardiac muscle contraction Homo sapiens hsa04260,0.55575866,-0.29028487,0.408149,-0.3767022,0.7168693,0.69691443,0.93065757,-1.0036864,0.959567,-1.266741,1.1025019,1.1181351,0.653,0.45892352,0.605,0.09,0.033,0.023
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.48885205,0.3499344,0.40031952,-0.29434806,0.6223882,0.5812716,0.8264856,1.1337413,0.95248187,-1.054913,0.9716407,0.94760436,0.92,0.25433525,0.641,0.34840426,0.745,0.872
Cell cycle Homo sapiens hsa04110,0.631959,-0.27002367,0.424362,0.22916529,0.6399401,0.61663115,1.0781224,-1.0134113,1.0185109,0.79209346,1.0037149,1.0111309,0.246,0.3968254,0.455,0.8676923,0.475,0.378
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5759893,0.2407823,0.4464544,-0.19536357,0.6224424,0.58888537,0.96381,0.7173167,1.0376368,-0.6340934,0.9595367,0.94894904,0.589,0.8857143,0.438,0.9949495,0.762,0.816
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.6605731,0.32800618,0.30886278,0.27828783,0.6583507,0.6365648,1.1160123,1.0272992,0.73008907,0.8833187,1.01999,1.0299368,0.214,0.41494435,0.954,0.6894309,0.325,0.269
Chemical carcinogenesis Homo sapiens hsa05204,0.72933394,-0.28593302,0.39202186,-0.3186364,0.66608626,0.66503036,1.2147684,-0.82547057,0.8817717,-0.91876704,0.9991568,1.0434495,0.132,0.7173913,0.71428573,0.5730337,0.507,0.282
Chemokine signaling pathway Homo sapiens hsa04062,0.65022814,0.3533335,0.44201025,0.2410254,0.6059864,0.57371587,1.10451,1.1980453,1.0606511,0.82263654,0.95081264,0.9419469,0.182,0.17221418,0.335,0.8199052,0.907,0.927
Choline metabolism in cancer Homo sapiens hsa05231,0.5484703,0.29138005,0.36789894,0.3332246,0.6188916,0.58838123,0.92458594,0.9364639,0.8648411,1.0860524,0.9648426,0.9590582,0.699,0.5701079,0.827,0.3113497,0.755,0.794
Cholinergic synapse Homo sapiens hsa04725,0.53322107,0.32017604,0.42474797,0.22975506,0.60698384,0.5857044,0.8966855,1.0239869,1.0122247,0.7504739,0.94582653,0.9539145,0.784,0.4017991,0.485,0.91214055,0.882,0.813
Chronic myeloid leukemia Homo sapiens hsa05220,0.68073446,0.35509345,0.43004742,-0.21116659,0.6512387,0.63081867,1.1537983,1.0817615,1.0030699,-0.7121292,1.0074435,1.018887,0.144,0.3261944,0.508,0.95717883,0.426,0.358
Circadian entrainment Homo sapiens hsa04713,0.50758475,0.2821005,0.43867132,0.22062051,0.6009654,0.577158,0.8522976,0.8923436,1.0422771,0.69496745,0.9340021,0.93747085,0.863,0.6625,0.393,0.95673877,0.926,0.887
Circadian rhythm Homo sapiens hsa04710,0.50567573,-0.3259419,0.46931353,-0.3836351,0.62795067,0.6042363,0.8416347,-0.9081578,1.0415757,-1.0867654,0.9369921,0.94087803,0.786,0.6173709,0.45262095,0.32747254,0.776,0.75
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.7467228,-0.59004265,0.66115415,0.24217361,0.6786067,0.6263056,1.2271034,-1.673219,1.4845493,0.640624,1.0149038,0.9745958,0.13,0.01843318,0.004004004,0.9340463,0.398,0.597
Cocaine addiction Homo sapiens hsa05030,0.3875163,-0.2181923,0.37045136,0.20385866,0.67283833,0.65324783,0.64878637,-0.67374474,0.86713827,0.599974,1.024499,1.0369744,0.992,0.934555,0.7673019,0.9756098,0.345,0.264
Collecting duct acid secretion Homo sapiens hsa04966,0.64982784,0.20525183,0.45705667,0.24713826,0.7185009,0.6746698,1.0756198,0.4954217,0.9769368,0.6016947,1.0563451,1.0309861,0.343,0.97605896,0.55566907,0.92266184,0.25825825,0.345
Colorectal cancer Homo sapiens hsa05210,0.58258903,0.4422987,0.45038974,0.21612507,0.6227053,0.58293635,0.9783104,1.3423748,1.0545264,0.6608892,0.95825833,0.9365892,0.555,0.06763285,0.397,0.9738562,0.777,0.869
Complement and coagulation cascades Homo sapiens hsa04610,0.6938804,-0.31889993,0.61177003,-0.29417095,0.66780573,0.629562,1.1535667,-0.9843805,1.4109875,-0.8941969,1.0086644,0.9944047,0.216,0.46898264,0.013013013,0.6133652,0.435,0.507
Cysteine and methionine metabolism Homo sapiens hsa00270,0.6263119,0.18778378,0.35081238,-0.40654427,0.68642575,0.6577192,1.0357211,0.5224008,0.79453677,-1.2420834,1.0411539,1.0410054,0.398,0.99319726,0.83466935,0.16129032,0.277,0.293
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.6300319,0.21644095,0.43492618,-0.18500486,0.62849116,0.59986144,1.070777,0.7425672,1.0452356,-0.7062786,0.98967093,0.98800945,0.241,0.91780823,0.351,0.9748603,0.61,0.622
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.59781,-0.2659473,0.41562778,0.279,0.6643489,0.6585442,0.9982734,-0.7990798,0.94892514,0.7685403,1.0047711,1.0383304,0.492,0.7746479,0.6232465,0.7930435,0.454,0.296
DNA replication Homo sapiens hsa03030,0.74962175,-0.28574976,0.5553246,-0.30375195,0.66329914,0.6296231,1.2475142,-0.86450356,1.2482854,-0.9080138,0.9996571,0.9905086,0.1,0.67741936,0.107,0.59232616,0.488,0.547
Dilated cardiomyopathy Homo sapiens hsa05414,0.4755022,-0.37158364,0.3928988,-0.23948559,0.58555174,0.5712819,0.80337983,-1.3125924,0.93820935,-0.8201213,0.9065501,0.92330855,0.93,0.07734807,0.667,0.8236842,0.98,0.944
