,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Dilated cardiomyopathy Homo sapiens hsa05414,0.49581248,0.33832005,0.41700158,0.2557171,0.49232233,0.46780828,0.90659726,1.0898056,1.2006402,0.92257285,0.98223895,1.0782751,0.784,0.29725364,0.134,0.6213592,0.572,0.186
Dopaminergic synapse Homo sapiens hsa04728,0.44019622,0.38716456,0.3071206,0.3399104,0.44580084,0.36925253,0.8099394,1.3364843,0.90076137,1.3071736,0.90141857,0.8671103,0.963,0.103186645,0.748,0.070866145,0.94,0.964
Dorso-ventral axis formation Homo sapiens hsa04320,0.5430142,-0.29934973,0.34315103,0.35218003,0.4769348,0.4005566,0.9474191,-0.87823385,0.87654674,0.9720587,0.8844504,0.84573036,0.6028084,0.63065326,0.67413443,0.496994,0.818,0.8478478
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.6989787,-0.34810504,0.3643382,-0.4032527,0.50112665,0.48549297,1.2365055,-0.99327403,0.95023245,-1.1531729,0.9336644,1.0358932,0.099,0.4055944,0.59026366,0.24423076,0.693,0.387
Drug metabolism - other enzymes Homo sapiens hsa00983,0.7842033,0.32787958,0.3234966,0.42855617,0.4712125,0.41189754,1.3629972,0.8135446,0.8044634,1.153231,0.8715023,0.86489314,0.03009027,0.68664384,0.785567,0.26771653,0.829,0.8078078
ECM-receptor interaction Homo sapiens hsa04512,0.5103113,0.1596434,0.17502,-0.17432015,0.45197216,0.40257958,0.9275677,0.5166289,0.49859154,-0.6153259,0.8996993,0.9265958,0.733,0.99509,0.999,0.9771784,0.901,0.778
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.50730175,0.32857051,0.48944172,-0.24872304,0.617054,0.53809446,0.90355176,0.89074075,1.3086092,-0.7291147,1.1747911,1.1718774,0.687,0.5559322,0.109311745,0.8382353,0.062,0.1
Endocytosis Homo sapiens hsa04144,0.5420543,0.30779862,0.3302652,-0.22840708,0.49363,0.4358937,1.0141162,1.1758335,0.99708736,-0.9820503,1.0195245,1.0518255,0.431,0.18075801,0.507,0.4731405,0.355,0.168
Endometrial cancer Homo sapiens hsa05213,0.5444092,0.22589105,0.38112786,0.28342456,0.4835279,0.3998664,0.9827274,0.71317554,1.0711691,0.9711241,0.95129454,0.9098334,0.552,0.87479675,0.36136135,0.51724136,0.694,0.803
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.5698927,-0.31561226,0.33618015,-0.26265675,0.466626,0.3905297,1.0294707,-1.0464115,0.95626384,-0.92391425,0.9209177,0.89156634,0.413,0.31190476,0.59,0.54752064,0.813,0.866
