,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Cell cycle Homo sapiens hsa04110,0.59042054,0.26235437,0.36209783,-0.22151954,0.6387789,0.601401,1.0255935,0.8206159,0.85607624,-0.806637,1.0950099,1.106047,0.392,0.7830396,0.9,0.8595271,0.027,0.027
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5992773,-0.17672889,0.35667476,0.28867066,0.63823736,0.59131825,1.0246304,-0.63719046,0.82458496,1.0362866,1.0713606,1.0637115,0.413,0.9677419,0.878,0.38157895,0.129,0.167
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.70279074,0.34347314,0.36256176,0.34971112,0.5770773,0.53528047,1.2130622,1.0312369,0.85136396,1.3184984,0.9795484,0.97429085,0.017,0.43610784,0.854,0.055045873,0.637,0.654
Chemical carcinogenesis Homo sapiens hsa05204,0.69763285,0.26729977,0.39094597,-0.34715638,0.6201877,0.5659514,1.1784399,0.69362664,0.8709307,-1.0154012,1.0186594,0.9913619,0.123,0.8594527,0.7527528,0.42737895,0.393,0.531
Chemokine signaling pathway Homo sapiens hsa04062,0.65622,-0.26853833,0.43262213,0.26418683,0.6015521,0.5488894,1.1467656,-1.031784,1.0400927,1.0755268,1.0361378,1.0155573,0.037,0.42990655,0.369,0.2792208,0.196,0.354
Choline metabolism in cancer Homo sapiens hsa05231,0.569907,0.21259852,0.4289732,-0.19625625,0.58048075,0.50689495,0.98796827,0.63929075,1.0174592,-0.68851006,0.98934424,0.92735386,0.557,0.9617613,0.463,0.9527326,0.587,0.915
Cholinergic synapse Homo sapiens hsa04725,0.6000471,0.35077706,0.43495315,0.29369852,0.52966464,0.5011877,1.0367218,1.0762237,1.0310844,1.1503689,0.90327245,0.91775596,0.366,0.35280374,0.424,0.20353982,0.974,0.945
Chronic myeloid leukemia Homo sapiens hsa05220,0.6442864,0.36599714,0.41947794,-0.28275818,0.548733,0.5109857,1.1127435,1.0809715,0.9817395,-0.9517704,0.92886853,0.9288494,0.161,0.36069363,0.571,0.5496183,0.897,0.862
Circadian entrainment Homo sapiens hsa04713,0.5424636,0.4119778,0.45366094,0.34357092,0.58660936,0.5506388,0.9341827,1.2347462,1.0754424,1.2837868,0.9970654,1.0031825,0.741,0.16928658,0.299,0.083076924,0.513,0.447
Circadian rhythm Homo sapiens hsa04710,0.6274107,-0.30507627,0.41731054,-0.32330567,0.5284258,0.49315158,1.06039,-0.913097,0.9242117,-0.9012313,0.8616249,0.8543666,0.352,0.4869565,0.665,0.6256158,0.95,0.946
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.70456666,-0.30400094,0.34308037,-0.42641175,0.551918,0.4930554,1.1828399,-0.9159103,0.7518085,-1.1877191,0.8951392,0.85098183,0.152,0.5223214,0.88476956,0.22998296,0.873,0.944
Cocaine addiction Homo sapiens hsa05030,0.4290374,0.22558536,0.5132542,0.1400331,0.5809764,0.546798,0.72390634,0.6282001,1.1715832,0.47306246,0.9649698,0.97417796,0.987,0.94285715,0.151,1.0,0.678,0.616
Collecting duct acid secretion Homo sapiens hsa04966,0.50879925,-0.2830937,0.3490285,-0.24924457,0.53393906,0.4968915,0.8386475,-0.82302976,0.7511087,-0.645753,0.85236984,0.84124345,0.824,0.65682656,0.8609137,0.9162393,0.927,0.911
Colorectal cancer Homo sapiens hsa05210,0.5360555,0.22429319,0.36745384,-0.22122666,0.5711359,0.52038157,0.91947335,0.6545952,0.8619571,-0.7275913,0.9603053,0.93739516,0.759,0.91330165,0.819,0.9079365,0.756,0.83
Complement and coagulation cascades Homo sapiens hsa04610,0.6222298,0.55261266,0.6145097,-0.31857744,0.6039976,0.56795,1.0533719,1.5259166,1.4010432,-0.960795,1.0019308,1.0100348,0.346,0.04292929,0.008,0.5169082,0.48,0.43
Cysteine and methionine metabolism Homo sapiens hsa00270,0.6732043,0.22913027,0.34076798,0.23565702,0.62321466,0.5691663,1.1328787,0.60962325,0.7702811,0.7827692,1.0206324,0.9974728,0.186,0.9379747,0.892,0.84810126,0.399,0.51
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.5932604,0.3444454,0.4382305,0.26551247,0.56867296,0.5378943,1.0365295,1.0868634,1.0485786,1.1548649,0.9816102,0.99672425,0.31,0.33406353,0.322,0.14522822,0.681,0.52
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.67277265,-0.26095602,0.3538408,-0.28779313,0.6037357,0.577305,1.139553,-0.82741714,0.79799193,-0.8411778,0.992744,1.0163629,0.17617618,0.65531915,0.8456914,0.71935487,0.531,0.398
DNA replication Homo sapiens hsa03030,0.6380461,-0.29317334,0.3675567,-0.5867442,0.5814806,0.57241654,1.0697583,-0.9318709,0.8323959,-1.7274983,0.956236,1.003404,0.316,0.46907216,0.81462926,0.0067340066,0.704,0.467
Dilated cardiomyopathy Homo sapiens hsa05414,0.5224936,0.47195044,0.48578984,0.24432902,0.58462316,0.5528007,0.90251803,1.4284525,1.1497632,0.9538293,0.99386257,1.0071712,0.836,0.04347826,0.126,0.5352564,0.54,0.437
Dopaminergic synapse Homo sapiens hsa04728,0.5508139,0.4047128,0.44157478,0.3129908,0.55369455,0.52899766,0.9542317,1.2611836,1.0515995,1.2784146,0.95163816,0.97538406,0.7,0.12195122,0.336,0.03691275,0.85,0.689
Dorso-ventral axis formation Homo sapiens hsa04320,0.67103165,-0.2514397,0.43260318,-0.33271173,0.58418995,0.522588,1.1181074,-0.72268957,0.946813,-0.88995105,0.93928874,0.89552253,0.261,0.82304525,0.6099291,0.61709404,0.734,0.841
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.7328683,0.45785815,0.51180923,-0.31191623,0.59176856,0.54665935,1.2271613,1.1589298,1.1288832,-0.87547797,0.9683222,0.95206845,0.084,0.277707,0.2758275,0.63222414,0.633,0.695
Drug metabolism - other enzymes Homo sapiens hsa00983,0.7590159,-0.27143136,0.65462464,-0.37715593,0.68931353,0.6735177,1.2586001,-0.8282312,1.422671,-1.0137835,1.1090026,1.1498721,0.067067064,0.6654275,0.01715439,0.43367347,0.126,0.073
ECM-receptor interaction Homo sapiens hsa04512,0.6118846,0.34346262,0.41188338,-0.33696,0.6056402,0.574985,1.0459653,1.0316414,0.96487504,-1.1219726,1.0266356,1.0441748,0.333,0.4235437,0.629,0.2706422,0.319,0.233
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.5951349,0.41540146,0.50153035,-0.2051735,0.50126696,0.46351966,1.0057428,1.1299195,1.1391915,-0.61670977,0.8333477,0.8213417,0.498,0.31157637,0.23123123,0.962675,0.989,0.994
Endocytosis Homo sapiens hsa04144,0.5760288,0.25275362,0.38186336,-0.3491594,0.58713067,0.5414678,1.0167416,0.828637,0.93098867,-1.3688176,1.0227925,1.013238,0.401,0.80679405,0.792,0.025316456,0.248,0.336
Endometrial cancer Homo sapiens hsa05213,0.5801672,-0.30478525,0.34267285,-0.3560531,0.53697604,0.5034849,0.98796135,-1.0470777,0.79065645,-1.1305165,0.8970245,0.9006122,0.533,0.2937853,0.905,0.26108375,0.942,0.929
