,names,rank,logfoldchanges,pvals_adj
295,Senp7,13.345358878735507,21.42198,0.23824563678888208
296,Mob3b,13.354538396980045,21.418621,0.2379571096209944
297,Urod,17.357510245787832,21.41015,0.1546272140947558
298,Adam9,13.383233804881433,21.392769,0.2368120795136473
299,Gm26626,16.83029201847262,21.33002,0.16253898632039723
300,Cracr2b,12.92429555708927,21.302568,0.2473424846147197
301,N4bp2l1,15.954633320548869,21.289232,0.17806449321343065
302,Foxq1,12.985758318265031,21.277275,0.2452950846502787
303,Tbl1x,22.763227074268485,21.271105,0.0850848329208054
304,Tmem266,16.14306637047942,21.269613,0.17419143760800399
305,Gm30382,16.83717446733619,21.25109,0.1613254868801282
306,Pnmal1,13.308615554020275,21.250427,0.23644209617265516
307,Rai2,13.235312405130504,21.248428,0.23829542281866473
308,Med11,10.732172286777788,21.226854,0.31218059282488075
309,Hist1h3a,13.07062464759164,21.213972,0.2420288685832841
310,6030445D17Rik,12.094970782648815,21.185968,0.2685991617060598
311,Arl6ip6,13.177900564577616,21.184597,0.23875306849983596
312,E130208F15Rik,12.054514249837037,21.173056,0.26956731823843755
313,Hectd1,13.027703718831336,21.144573,0.2420331383488456
314,Cplane2,8.117699481177382,21.121675,0.4127334985374595
315,Sidt2,13.008515203609594,21.113167,0.2420288685832841
316,Phactr2,13.15374933337343,21.070751,0.23753860448648212
317,Egln1,8.092545540462762,21.056227,0.4127334985374595
318,Ephx4,18.069870684818966,21.043165,0.1384506577996471
319,Atp2c1,10.610583818725402,21.033466,0.31299545572446774
320,Frat1,13.044084094713211,21.020535,0.23958516518305814
321,Acy1,12.200054601202106,21.00894,0.2625984918194377
322,Atp2c2,13.159853996105111,20.995485,0.23615956175494668
323,Gm1720,10.793392999534145,20.959982,0.3055255957978956
324,Lnx2,10.473610471681889,20.906548,0.31552026423602136
325,Susd6,13.03502061955514,20.880562,0.23753860448648212
326,Irx3os,8.011813808666943,20.846169,0.4127334985374595
327,Trappc2l,12.083092760960453,20.842772,0.26319290803961
328,Rpl18,8.009510559796938,20.840176,0.4127334985374595
329,Ext2,11.80709292201947,20.82683,0.27107069443128184
330,Angel2,7.993698631685546,20.799034,0.4127334985374595
331,4933406I18Rik,7.989696901710576,20.788622,0.4127334985374595
332,Dync1li1,12.437436759690517,20.750145,0.2515414990094181
333,Gm5089,12.593386080725189,20.723684,0.24678522261916266
334,Gm41664,7.959831636843341,20.710915,0.4127334985374595
335,Bcr,12.909783213973549,20.678188,0.23750957786967156
336,5830448L01Rik,7.944142128388629,20.670092,0.4127334985374595
337,Tcl1,10.73918176622543,20.659502,0.30212173089811967
338,Rab7b,7.92471991998291,20.619556,0.4127334985374595
339,Fkbp11,12.685494807107458,20.59475,0.2421264782744706
340,Zdbf2,7.889419075748684,20.527706,0.4127334985374595
341,Pcdhb20,7.869967545269509,20.477095,0.4127334985374595
342,Kctd12,7.867110842263014,20.469662,0.4127334985374595
