,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
DNA replication Homo sapiens hsa03030,0.6702352,0.35380322,0.35999712,0.34641254,0.71391165,0.68499506,1.1467904,1.1040953,0.83077425,1.0707346,0.9948041,0.9760964,0.164,0.30038023,0.817,0.34383202,0.525,0.65
Dilated cardiomyopathy Homo sapiens hsa05414,0.51304364,-0.21536255,0.49556458,-0.20166741,0.7371747,0.71128047,0.89706844,-0.6670248,1.1904991,-0.6321028,1.0549285,1.0427371,0.847,0.96260554,0.067,0.98521507,0.061,0.124
Dopaminergic synapse Homo sapiens hsa04728,0.49758527,-0.3174316,0.42276654,-0.30191013,0.703249,0.6959606,0.8767505,-1.0228868,1.030803,-0.9915113,1.0094517,1.0238754,0.92,0.44419134,0.415,0.48404256,0.381,0.212
Dorso-ventral axis formation Homo sapiens hsa04320,0.5970341,0.4380019,0.32215586,0.4756653,0.76360106,0.7480364,1.0119374,1.2322223,0.71202636,1.3171995,1.0491438,1.0499563,0.49,0.18387097,0.89314514,0.13648294,0.214,0.225
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.6941075,-0.2055581,0.5325984,0.37612706,0.8117177,0.7983184,1.179761,-0.52992827,1.2038136,1.086941,1.125914,1.1327251,0.14,0.9858357,0.16950853,0.33333334,0.03,0.035
Drug metabolism - other enzymes Homo sapiens hsa00983,0.7339867,0.33913186,0.5294172,0.52585685,0.7203438,0.7072874,1.2332965,0.96385187,1.1718119,1.4202665,0.98408544,0.98672503,0.105,0.4880546,0.21862349,0.06824147,0.568,0.545
ECM-receptor interaction Homo sapiens hsa04512,0.54798645,-0.37197974,0.39681727,-0.3431235,0.73884535,0.7031361,0.95568657,-1.1419398,0.94341993,-1.0482476,1.0540452,1.0279573,0.661,0.24253732,0.68,0.41218132,0.094,0.226
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.53352386,-0.45830995,0.56797856,-0.48977774,0.726446,0.7113243,0.9142215,-1.2453278,1.3052653,-1.3205112,1.0134443,1.0151509,0.723,0.15672676,0.041082166,0.107739,0.353,0.36
Endocytosis Homo sapiens hsa04144,0.57243735,-0.3698898,0.33462325,-0.36165354,0.6980911,0.67570496,1.0213176,-1.2786539,0.83165544,-1.2723596,1.0131972,1.0061692,0.364,0.04761905,0.978,0.05158265,0.265,0.38
Endometrial cancer Homo sapiens hsa05213,0.5414674,0.32248497,0.30164143,0.32577783,0.7034873,0.669389,0.9360045,1.1207682,0.71112555,1.0715373,0.99254155,0.96661043,0.701,0.23555556,0.956,0.29714286,0.554,0.752
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.5895412,-0.34315357,0.27117893,-0.34804496,0.6753196,0.66299653,1.0213417,-1.0105199,0.6391692,-1.0264473,0.9554429,0.9623566,0.429,0.43911916,0.985,0.40685543,0.852,0.799
