,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.54667187,-0.21098842,0.23650715,-0.2367133,0.39982885,0.26519918,1.0357816,-0.68812144,0.8528349,-0.7956367,1.0482231,1.0282253,0.408,0.93095237,0.73219657,0.8108108,0.332,0.418
Focal adhesion Homo sapiens hsa04510,0.46254325,-0.22080985,0.23544486,-0.27440864,0.36023727,0.20736971,0.9062823,-0.83824813,0.932054,-1.0944643,0.99533916,0.8862361,0.822,0.76501304,0.65,0.27134147,0.503,0.814
FoxO signaling pathway Homo sapiens hsa04068,0.5087714,-0.26266584,0.23701231,-0.31803942,0.33058986,0.24209616,0.9788549,-0.9170559,0.90011746,-1.167822,0.89162314,0.98382896,0.581,0.55035126,0.688,0.22016807,0.87,0.532
Fructose and mannose metabolism Homo sapiens hsa00051,0.4652581,0.48601848,0.15417813,0.48863637,0.48522115,0.39185104,0.85785687,1.2479414,0.4698951,1.3723196,1.1560148,1.2738162,0.73582995,0.19499105,0.97696334,0.10690423,0.18775101,0.14182939
GABAergic synapse Homo sapiens hsa04727,0.43425226,0.36065143,0.41312283,0.26267335,0.3554167,0.21931934,0.8273895,1.1561129,1.5065475,0.9575322,0.9306193,0.8527345,0.875,0.2303665,0.0140280565,0.55445546,0.698,0.779
Galactose metabolism Homo sapiens hsa00052,0.6717095,0.21652672,0.2458298,0.37861058,0.51979613,0.3631146,1.2328347,0.55708426,0.7606506,1.0617955,1.2338386,1.1772224,0.15461847,0.9741379,0.79564315,0.38116592,0.10050251,0.22717842
Gap junction Homo sapiens hsa04540,0.5586245,-0.25890774,0.3536721,-0.3868916,0.36591846,0.29838952,1.063058,-0.84723943,1.2740014,-1.2950797,0.94801545,1.1323959,0.352,0.68171024,0.12851405,0.1307947,0.632,0.245
Gastric acid secretion Homo sapiens hsa04971,0.44182706,0.37957618,0.34388798,-0.28138626,0.36575338,0.28826272,0.83058536,1.1065333,1.1873119,-0.8632915,0.92984694,1.0416884,0.813,0.2990991,0.23684211,0.67291313,0.677,0.3929648
Glioma Homo sapiens hsa05214,0.5655168,0.23120332,0.20704605,-0.29272243,0.30091682,0.24479258,1.0753956,0.7060676,0.7322008,-0.9218172,0.76706207,0.905834,0.358,0.8733706,0.85699797,0.5845324,0.965,0.6626627
Glucagon signaling pathway Homo sapiens hsa04922,0.4437608,-0.22516844,0.29227647,-0.28707737,0.3817256,0.28629187,0.8514937,-0.7676416,1.0843812,-0.9870006,1.0152137,1.1228857,0.835,0.8581395,0.359,0.4966443,0.446,0.23123123
